Name,Type,PhyD,MagD,FirD,LitD,HolD,CriD,StaD,StrS,DexS,IntS,FaiS,ArcS,Any,PhyB,MagB,FirB,LitB,HolB,Bst,Rst,Wgt,Upgrade
Beast-Repellent Torch,Torch,142,0,254,0,0,100,94,B,D,-,-,-,-,23,17,28,17,17,22,14,2.5,Smithing Stones
Beastclaw Greathammer,Warhammer,284,0,0,0,183,100,182,C,C,-,D,-,-,62,33,33,33,45,42,20,9,Somber Smithing Stones
Beastman's Cleaver,Curved Greatsword,350,0,0,0,0,100,164,B,-,-,-,-,-,81,43,43,43,43,62,25,16.5,Smithing Stones
Beastman's Curved Sword,Curved Sword,276,0,0,0,0,100,98,B,D,-,-,-,-,44,33,33,33,33,32,11,4,Smithing Stones
Black Bow,Bow,171,0,0,0,0,100,60,D,D,-,-,-,-,0,0,0,0,0,0,0,4,Somber Smithing Stones
Black Knife,Dagger,161,0,0,0,159,110,56,E,B,-,C,-,-,26,15,15,15,42,15,10,2,Somber Smithing Stones
Blade of Calling,Dagger,173,0,0,0,105,110,56,D,C,-,B,-,-,31,18,18,18,30,15,10,1.5,Somber Smithing Stones
Blasphemous Blade,Greatsword,296,0,191,0,0,100,138,C,C,-,B,-,-,72,39,54,39,39,50,24,13.5,Somber Smithing Stones
Bloodhound Claws,Claw,230,0,0,0,0,110,78,C,D,-,-,-,(60),38,22,22,22,22,26,11,3,Smithing Stones
Bloodhound's Fang,Curved Greatsword,345,0,0,0,0,100,122,C,B,-,-,-,(55),68,36,36,36,36,44,21,11.5,Somber Smithing Stones
Bloodstained Dagger,Dagger,198,0,0,0,0,110,60,B,D,-,-,-,(38),36,21,21,21,21,18,10,2,Smithing Stones
Bloody Helice,Heavy Thrusting Sword,296,0,0,0,0,100,94,E,C,-,-,B,(55),57,40,40,40,40,34,17,8,Somber Smithing Stones
Bolt of Gransax,Spear,240,0,0,154,0,100,88,D,C,-,-,-,-,60,31,31,47,31,40,20,8.5,Somber Smithing Stones
Brick Hammer,Warhammer,298,0,0,0,0,100,218,A,-,-,-,-,-,74,40,40,40,40,57,23,12.5,Smithing Stones
Broadsword,Straight Sword,286,0,0,0,0,100,94,C,PhyD,-,-,-,-,47,31,31,31,31,37,15,4,Smithing Stones
Butchering Knife,Greataxe,328,0,0,0,0,100,150,E,B,-,-,-,-,58,31,31,31,31,44,18,8.5,Smithing Stones
Caestus,Fist,220,0,0,0,0,100,100,C,C,-,-,-,-,35,20,20,20,20,24,10,1.5,Smithing Stones
Cane Sword,Straight Sword,235,0,0,0,0,100,86,D,C,-,-,-,-,41,27,27,27,27,32,13,2.5,Smithing Stones
Carian Glintblade Staff,Glintstone Staff,38,0,0,0,0,100,38,D,D,S,-,-,-,23,14,14,14,14,14,9,2.5,Smithing Stones
Carian Glintstone Staff,Glintstone Staff,43,0,0,0,0,100,40,D,-,S,-,-,-,25,15,15,15,15,15,10,3,Smithing Stones
Carian Knight's Sword,Straight Sword,215,215,0,0,0,100,90,C,D,D,-,-,-,36,52,26,26,26,31,15,4,Somber Smithing Stones
Carian Regal Scepter,Glintstone Staff,58,0,0,0,0,100,40,D,D,S,-,-,-,25,15,15,15,15,15,10,3,Somber Smithing Stones
Celebrant's Cleaver,Axe,291,0,0,0,0,100,112,C,D,-,-,-,-,47,31,31,31,31,39,15,4.5,Smithing Stones
Celebrant's Rib-Rake,Spear,267,0,0,0,0,100,68,D,C,-,-,-,-,40,25,25,25,25,39,15,5,Smithing Stones
Celebrant's Sickle,Dagger,193,0,0,0,0,100,56,E,B,-,-,-,-,35,20,20,20,20,18,10,1.5,Smithing Stones
Celebrant's Skull,Warhammer,338,0,0,0,0,100,182,C,C,-,-,-,-,63,34,34,34,34,48,19,8.5,Smithing Stones
Chainlink Flail,Flail,267,0,0,0,0,100,122,B,E,-,-,-,(50),43,28,28,28,28,28,18,8,Smithing Stones
Cinquedea,Dagger,240,0,0,0,0,100,68,B,D,-,-,-,-,43,25,25,25,25,18,12,3.5,Somber Smithing Stones
Cipher Pata,Fist,0,0,0,0,208,100,90,-,-,-,A,-,-,9,14,14,14,61,19,9,0,Somber Smithing Stones
Clawmark Seal,Sacred Seal,54,0,0,0,0,100,40,B,-,-,B,-,-,25,15,15,15,15,15,10,1.5,Smithing Stones
Clayman's Harpoon,Spear,242,156,0,0,0,100,80,C,E,D,-,-,-,49,38,25,25,25,39,16,5.5,Smithing Stones
Claymore,Greatsword,338,0,0,0,0,100,126,C,D,-,-,-,-,65,35,35,35,35,50,20,9,Smithing Stones
Cleanrot Knight's Sword,Thrusting Sword,267,0,0,0,0,100,66,C,D,-,-,-,-,51,34,34,34,34,27,11,4,Smithing Stones
Cleanrot Spear,Spear,249,0,0,0,161,100,80,C,C,-,D,-,-,49,25,25,25,38,33,16,5.5,Somber Smithing Stones
Clinging Bone,Fist,196,58,0,0,0,100,94,E,B,-,-,C,-,31,36,17,17,17,21,10,3,Somber Smithing Stones
Club,Hammer,252,0,0,0,0,100,102,B,-,-,-,-,-,41,27,27,27,27,32,13,3.5,Smithing Stones
Coded Sword,Straight Sword,0,0,0,0,208,100,76,-,-,-,A,-,-,13,22,22,22,58,27,13,2.5,Somber Smithing Stones
Commander's Standard,Halberd,338,0,0,0,0,100,136,B,D,-,-,-,-,64,41,41,41,41,49,17,11.5,Somber Smithing Stones
Composite Bow,Light Bow,159,0,0,0,0,100,40,E,D,-,-,-,-,0,0,0,0,0,0,0,3,Smithing Stones
Cranial Vessel Candlestand,Warhammer,240,0,240,0,0,100,190,B,D,-,B,-,-,71,37,51,37,37,48,23,12.5,Somber Smithing Stones
Crepus's Black-Key Crossbow,Crossbow,238,0,0,0,0,100,64,-,-,-,-,-,-,0,0,0,0,0,0,0,5,Somber Smithing Stones
Crescent Moon Axe,Greataxe,357,0,0,0,0,100,156,D,C,-,-,-,-,68,36,36,36,36,52,21,12.5,Smithing Stones
Cross-Naginata,Spear,298,0,0,0,0,100,88,D,B,-,-,-,(50),52,32,32,32,32,46,19,8,Smithing Stones
Crystal Knife,Dagger,200,129,0,0,0,100,62,C,D,B,-,-,-,32,31,18,18,18,18,10,2,Smithing Stones
Crystal Spear,Spear,269,80,0,0,0,100,80,D,B,D,-,-,-,48,33,26,26,26,33,16,5.5,Somber Smithing Stones
Crystal Staff,Glintstone Staff,75,0,0,0,0,100,46,C,-,S,-,-,-,28,17,17,17,17,17,11,4.5,Somber Smithing Stones
Crystal Sword,Straight Sword,259,166,0,0,0,100,98,C,D,D,-,-,-,44,44,30,30,30,33,16,4.5,Somber Smithing Stones
Curved Club,Hammer,279,0,0,0,0,100,106,C,D,-,-,-,-,45,30,30,30,30,36,15,5,Smithing Stones
Curved Great Club,Warhammer,355,0,0,0,0,100,194,C,D,-,-,-,-,68,36,36,36,36,52,21,10,Smithing Stones
Dagger,Dagger,181,0,0,0,0,130,60,D,B,-,-,-,-,35,20,20,20,20,18,10,1.5,Smithing Stones
Dark Moon Greatsword,Greatsword,200,240,0,0,0,100,126,D,D,B,-,-,(55),57,63,31,31,31,44,21,10,Somber Smithing Stones
Death Ritual Spear,Spear,242,156,0,0,0,110,84,D,B,D,-,-,-,54,42,27,27,27,36,18,6.5,Somber Smithing Stones
Death's Poker,Greatsword,301,88,0,0,0,100,116,C,B,D,-,-,(65),60,39,33,33,33,39,19,8.5,Somber Smithing Stones
Demi-Human Queen's Staff,Glintstone Staff,54,0,0,0,0,100,40,C,-,S,-,-,-,25,15,15,15,15,15,10,3,Smithing Stones
Devourer's Scepter,Warhammer,274,0,169,0,0,100,154,C,C,-,C,-,-,62,33,45,33,33,42,20,11.5,Somber Smithing Stones
Digger's Staff,Glintstone Staff,66,0,0,0,0,100,46,C,-,S,-,-,-,28,17,17,17,17,17,11,4.5,Smithing Stones
Dismounter,Curved Greatsword,338,0,0,0,0,100,122,C,D,-,-,-,-,65,35,35,35,35,50,20,10,Smithing Stones
Dragon Communion Seal,Sacred Seal,61,0,0,0,0,100,40,-,-,-,B,S,-,25,15,15,15,15,15,10,0,Somber Smithing Stones
Dragon Greatclaw,Colossal Weapon,294,0,0,191,0,100,150,C,D,-,-,-,-,66,40,40,52,40,47,23,16,Somber Smithing Stones
Dragon Halberd,Halberd,330,0,0,0,0,100,136,B,C,-,-,-,-,58,37,37,50,37,47,16,10.5,Somber Smithing Stones
Dragon King's Cragblade,Heavy Thrusting Sword,225,0,0,144,0,100,98,D,B,-,-,-,-,46,32,32,46,32,34,17,8,Somber Smithing Stones
Dragonscale Blade,Katana,269,0,0,0,0,100,90,D,B,-,-,-,-,35,25,25,50,25,30,15,5.5,Somber Smithing Stones
Duelist Greataxe,Colossal Weapon,416,0,0,0,0,100,156,D,C,-,-,-,-,78,47,47,47,47,62,26,20,Smithing Stones
Eclipse Shotel,Curved Sword,188,0,0,0,188,100,94,D,C,-,C,-,-,35,25,25,25,50,25,10,3,Somber Smithing Stones
Eleonora's Poleblade,Twinblade,176,0,176,0,0,100,84,E,C,-,-,D,(55),33,23,47,23,23,28,14,6,Somber Smithing Stones
Envoy's Greathorn,Colossal Weapon,296,0,0,0,191,100,202,C,C,-,D,-,-,70,43,43,43,55,50,25,19.5,Somber Smithing Stones
Envoy's Horn,Hammer,235,0,0,0,151,100,106,C,C,-,C,-,-,38,26,26,26,38,28,14,4,Somber Smithing Stones
Envoy's Long Horn,Warhammer,294,0,0,0,191,100,154,C,D,-,B,-,-,58,31,31,31,42,39,19,9.5,Somber Smithing Stones
Erdsteel Dagger,Dagger,164,0,0,0,0,110,60,D,D,-,D,-,-,36,21,21,21,21,18,10,2,Smithing Stones
Erdtree Bow,Bow,98,0,0,0,122,100,60,E,D,-,D,-,-,0,0,0,0,0,0,0,4,Somber Smithing Stones
Erdtree Greatbow,Greatbow,147,0,0,0,159,100,150,D,D,-,D,-,-,0,0,0,0,0,0,0,11,Somber Smithing Stones
Erdtree Seal,Sacred Seal,61,0,0,0,36,100,40,-,-,-,S,-,-,25,15,15,15,15,15,10,0,Somber Smithing Stones
Estoc,Thrusting Sword,262,0,0,0,0,100,66,E,B,-,-,-,-,54,36,36,36,36,28,12,4.5,Smithing Stones
Executioner's Greataxe,Greataxe,367,0,0,0,0,115,172,B,E,-,-,-,-,74,40,40,40,40,57,23,15,Smithing Stones
Falchion,Curved Sword,267,0,0,0,0,100,94,C,C,-,-,-,-,42,31,31,31,31,31,10,3.5,Smithing Stones
Fallingstar Beast Jaw,Colossal Weapon,320,208,0,0,0,100,180,C,C,D,-,-,-,70,55,43,43,43,50,25,21.5,Somber Smithing Stones
Family Heads,Flail,213,137,0,0,0,100,106,D,B,D,-,-,-,37,36,26,26,26,20,15,5.5,Somber Smithing Stones
Finger Seal,Sacred Seal,43,0,0,0,0,100,40,D,-,-,S,-,-,25,15,15,15,15,15,10,1.5,Smithing Stones
Flail,Flail,267,0,0,0,0,100,112,D,C,-,-,-,(50),36,24,24,24,24,24,15,5,Smithing Stones
Flamberge,Greatsword,316,0,0,0,0,100,118,D,B,-,-,-,(55),65,35,35,35,35,50,20,10,Smithing Stones
Flowing Curved Sword,Curved Sword,267,0,0,0,0,100,94,D,C,-,-,-,-,42,31,31,31,31,31,10,3.5,Smithing Stones
Forked Greatsword,Greatsword,303,0,0,0,0,100,112,D,C,-,-,-,(55),61,33,33,33,33,46,19,9,Smithing Stones
Forked Hatchet,Axe,247,0,0,0,0,100,106,D,C,-,-,-,(50),40,27,27,27,27,32,13,2.5,Smithing Stones
Frenzied Flame Seal,Sacred Seal,61,0,0,0,0,100,40,C,C,C,B,-,(55),25,15,15,15,15,15,10,0,Somber Smithing Stones
Frozen Needle,Thrusting Sword,242,0,0,0,0,100,60,D,B,-,-,-,(60),40,40,28,28,28,20,10,2.5,Somber Smithing Stones
Full Moon Crossbow,Crossbow,175,175,0,0,0,100,60,-,-,-,-,-,-,0,0,0,0,0,0,0,4,Somber Smithing Stones
Gargoyle's Black Axe,Greataxe,245,0,0,0,294,100,150,C,E,-,D,-,-,49,27,27,27,54,37,18,8.5,Somber Smithing Stones
Gargoyle's Black Blades,Twinblade,198,0,0,0,237,100,100,B,E,-,D,-,-,32,26,26,26,59,32,16,8.5,Somber Smithing Stones
Gargoyle's Black Halberd,Halberd,252,0,0,0,301,100,152,C,D,-,D,-,-,54,36,36,36,72,50,18,12,Somber Smithing Stones
Gargoyle's Blackblade,Greatsword,249,0,0,0,298,100,138,C,D,-,D,-,-,60,33,33,33,66,46,22,11.5,Somber Smithing Stones
Gargoyle's Great Axe,Greataxe,301,0,0,0,0,100,150,B,E,-,-,-,-,58,31,31,31,31,44,18,8.5,Smithing Stones
Gargoyle's Greatsword,Greatsword,325,0,0,0,0,100,138,B,E,-,-,-,-,71,38,38,38,38,55,22,11.5,Smithing Stones
Gargoyle's Halberd,Halberd,320,0,0,0,0,100,152,B,E,-,-,-,-,66,42,42,42,42,60,18,12,Smithing Stones
Gargoyle's Twinblade,Twinblade,301,0,0,0,0,100,100,B,E,-,-,-,-,48,32,32,32,32,38,16,8.5,Smithing Stones
Gelmir Glintstone Staff,Glintstone Staff,50,0,0,0,0,100,38,D,-,B,B,-,-,23,14,14,14,14,14,9,2.5,Smithing Stones
Ghiza's Wheel,Colossal Weapon,382,0,0,0,0,100,184,C,C,-,-,-,(70),73,43,43,43,43,48,24,19,Somber Smithing Stones
Ghostflame Torch,Torch,122,220,0,0,0,100,104,D,D,C,-,-,(65),21,42,13,13,13,22,14,2.5,Smithing Stones
Giant's Red Braid,Whip,200,0,129,0,0,100,88,B,D,-,B,-,-,24,12,26,12,12,15,10,2.5,Somber Smithing Stones
Giant's Seal,Sacred Seal,43,0,0,0,0,100,40,D,-,-,S,-,-,25,15,15,15,15,15,10,1.5,Smithing Stones
Giant-Crusher,Colossal Weapon,379,0,0,0,0,100,224,B,-,-,-,-,-,88,52,52,52,52,69,29,26.5,Smithing Stones
Glaive,Halberd,323,0,0,0,0,100,128,C,C,-,-,-,-,60,38,38,38,38,55,16,10,Smithing Stones
Glintstone Kris,Dagger,139,166,0,0,0,110,56,E,C,C,-,-,-,23,45,14,14,14,15,10,1.5,Somber Smithing Stones
Glintstone Staff,Glintstone Staff,43,0,0,0,0,100,40,D,-,S,-,-,-,25,15,15,15,15,15,10,3,Smithing Stones
Godskin Peeler,Twinblade,296,0,0,0,0,100,90,D,B,-,-,-,-,47,31,31,31,31,37,15,8,Smithing Stones
Godskin Stitcher,Heavy Thrusting Sword,311,0,0,0,0,100,94,C,C,-,-,-,-,55,38,38,38,38,39,16,7,Smithing Stones
Godslayer's Greatsword,Colossal Sword,291,0,188,0,0,100,120,D,B,-,C,-,-,63,38,49,38,38,45,22,17.5,Somber Smithing Stones
Godslayer's Seal,Sacred Seal,43,0,0,0,0,100,40,D,-,-,S,-,-,25,15,15,15,15,15,10,1.5,Smithing Stones
Golden Epitaph,Straight Sword,208,0,0,0,208,100,90,D,D,-,C,-,-,25,15,15,15,40,30,15,3.5,Somber Smithing Stones
Golden Halberd,Halberd,328,0,0,0,213,100,152,B,D,-,D,-,-,65,41,41,41,56,52,18,13.5,Somber Smithing Stones
Golden Order Greatsword,Greatsword,210,0,0,0,252,100,118,E,D,-,B,-,-,55,30,30,30,60,42,20,10,Somber Smithing Stones
Golden Order Seal,Sacred Seal,58,0,0,0,0,100,40,-,-,A,A,-,-,25,15,15,15,15,15,10,0,Somber Smithing Stones
Golem Greatbow,Greatbow,318,0,0,0,0,100,150,C,D,-,-,-,-,0,0,0,0,0,0,0,14.5,Somber Smithing Stones
Golem's Halberd,Colossal Weapon,387,0,0,0,0,100,134,C,D,-,-,-,-,75,45,45,45,45,60,25,21.5,Smithing Stones
Grafted Blade Greatsword,Colossal Sword,396,0,0,0,0,100,160,B,D,-,-,-,-,80,48,48,48,48,53,26,21,Somber Smithing Stones
Grafted Dragon,Fist,218,0,139,0,0,100,104,C,D,-,D,-,-,27,18,44,18,18,22,11,2.5,Somber Smithing Stones
Grave Scythe,Reaper,352,0,0,0,0,100,120,C,D,-,-,-,(55),49,33,33,33,33,39,16,9.5,Smithing Stones
Gravel Stone Seal,Sacred Seal,43,0,0,0,0,100,40,D,-,-,S,-,-,25,15,15,15,15,15,10,1.5,Smithing Stones
Great Club,Colossal Weapon,377,0,0,0,0,100,190,B,-,-,-,-,-,71,42,42,42,42,56,23,17,Smithing Stones
Great Knife,Dagger,183,0,0,0,0,110,60,E,B,-,-,-,(38),35,20,20,20,20,18,10,1.5,Smithing Stones
Great Mace,Warhammer,328,0,0,0,0,100,200,B,-,-,-,-,-,71,38,38,38,38,55,22,11.5,Smithing Stones
Great Omenkiller Cleaver,Greataxe,347,0,0,0,0,100,150,C,D,-,-,-,(55),63,33,33,33,45,50,20,11,Smithing Stones
Great Stars,Warhammer,330,0,0,0,0,100,182,C,D,-,-,-,(55),68,36,36,36,36,52,21,10,Smithing Stones
Great epee,Heavy Thrusting Sword,303,0,0,0,0,124,94,D,C,-,-,-,-,52,36,36,36,36,37,15,6.5,Smithing Stones
Greataxe,Greataxe,369,0,0,0,0,100,168,C,D,-,-,-,-,69,37,37,37,37,54,21,13,Smithing Stones
Greatbow,Greatbow,306,0,0,0,0,100,150,D,D,-,-,-,-,0,0,0,0,0,0,0,10,Smithing Stones
Greathorn Hammer,Warhammer,328,0,0,0,0,100,172,C,D,-,-,-,-,65,35,35,35,35,50,20,10,Smithing Stones
Greatsword,Colossal Sword,401,0,0,0,0,100,156,B,D,-,-,-,-,84,50,50,50,50,67,28,23,Smithing Stones
Grossmesser,Curved Sword,281,0,0,0,0,100,98,C,D,-,-,-,-,46,34,34,34,34,33,11,4.5,Smithing Stones
Guardian's Swordspear,Halberd,340,0,0,0,0,100,128,E,B,-,-,-,-,57,36,36,36,36,52,15,9,Smithing Stones
Halberd,Halberd,306,0,0,0,0,100,122,C,D,-,-,-,-,55,35,35,35,35,50,15,8,Smithing Stones
Halo Scythe,Reaper,289,0,0,0,186,100,114,D,C,-,D,-,(55),42,29,29,29,42,31,15,8.5,Somber Smithing Stones
Hammer,Hammer,303,0,0,0,0,100,116,C,D,-,-,-,-,51,34,34,34,34,43,17,6.5,Smithing Stones
Hand Axe,Axe,276,0,0,0,0,100,106,D,C,-,-,-,-,42,28,28,28,28,33,14,3.5,Smithing Stones
Hand Ballista,Ballista,600,0,0,0,0,100,150,-,-,-,-,-,-,0,0,0,0,0,0,0,10,Smithing Stones
Hand of Malenia,Katana,286,0,0,0,0,100,90,E,B,-,-,-,(50),49,33,33,33,33,33,16,7,Somber Smithing Stones
Harp Bow,Light Bow,151,0,0,0,0,100,40,E,D,-,-,-,-,0,0,0,0,0,0,0,2,Somber Smithing Stones
Heavy Crossbow,Crossbow,288,0,0,0,0,100,66,-,-,-,-,-,-,0,0,0,0,0,0,0,5.5,Smithing Stones
Helphen's Steeple,Greatsword,247,247,0,0,0,100,132,C,E,B,-,-,-,66,60,33,33,33,46,22,11.5,Somber Smithing Stones
Highland Axe,Axe,301,0,0,0,0,110,112,C,D,-,-,-,-,47,31,31,31,31,37,15,4.5,Smithing Stones
Hookclaws,Claw,218,0,0,0,0,110,72,D,B,-,-,-,(60),35,20,20,20,20,24,10,2,Smithing Stones
Horn Bow,Bow,159,73,0,0,0,100,60,D,D,E,-,-,-,0,0,0,0,0,0,0,4.5,Smithing Stones
Hoslow's Petal Whip,Whip,269,0,0,0,0,100,92,D,C,-,-,-,(55),28,17,17,17,17,20,11,3.5,Smithing Stones
Icerind Hatchet,Axe,271,0,0,0,0,100,94,D,B,-,-,-,(65),40,27,27,27,27,27,13,3,Somber Smithing Stones
Inquisitor's Girandole,Spear,249,0,161,0,0,100,88,C,C,-,B,-,(50),56,28,43,28,28,37,18,7.5,Somber Smithing Stones
Inseparable Sword,Straight Sword,240,0,0,0,240,100,132,D,D,-,B,-,-,59,34,34,34,52,44,21,10,Somber Smithing Stones
Iron Ball,Fist,247,0,0,0,0,100,110,C,D,-,-,-,-,38,22,22,22,22,26,11,2.5,Smithing Stones
Iron Cleaver,Axe,294,0,0,0,0,100,122,B,D,-,-,-,-,51,34,34,34,34,40,17,6,Smithing Stones
Iron Greatsword,Greatsword,365,0,0,0,0,100,140,B,E,-,-,-,-,73,39,39,39,39,56,22,12,Smithing Stones
Iron Spear,Spear,279,0,0,0,0,100,80,C,D,-,-,-,-,42,26,26,26,26,37,15,4.5,Smithing Stones
Ivory Sickle,Dagger,147,147,0,0,0,100,56,D,C,C,-,-,-,26,42,15,15,15,18,10,2,Smithing Stones
Jar Cannon,Ballista,672,0,0,0,0,100,180,-,-,-,-,-,-,0,0,0,0,0,0,0,15,Somber Smithing Stones
Jawbone Axe,Axe,303,0,0,0,0,100,122,C,D,-,-,-,-,49,33,33,33,33,43,16,5.5,Smithing Stones
Katar,Fist,237,0,0,0,0,110,100,D,C,-,-,-,-,36,21,21,21,21,25,10,2.5,Smithing Stones
Knight's Greatsword,Greatsword,345,0,0,0,0,100,126,D,C,-,-,-,-,68,36,36,36,36,52,21,10,Smithing Stones
Lance,Great Spear,301,0,0,0,0,100,122,C,C,-,-,-,-,57,36,36,36,36,52,21,9,Smithing Stones
Large Club,Warhammer,320,0,0,0,0,100,154,B,-,-,-,-,-,60,32,32,32,32,45,18,8.5,Smithing Stones
Lazuli Glintstone Sword,Straight Sword,193,230,0,0,0,100,94,C,D,D,-,-,-,30,55,25,25,25,30,15,3.5,Somber Smithing Stones
Light Crossbow,Crossbow,260,0,0,0,0,100,60,-,-,-,-,-,-,0,0,0,0,0,0,0,4,Smithing Stones
Lion Greatbow,Greatbow,294,0,0,0,0,100,150,D,D,-,-,-,-,0,0,0,0,0,0,0,9.5,Somber Smithing Stones
Longbow,Bow,196,0,0,0,0,100,60,D,D,-,-,-,-,0,0,0,0,0,0,0,4,Smithing Stones
Longhaft Axe,Greataxe,357,0,0,0,0,100,156,C,D,-,-,-,-,68,36,36,36,36,52,21,12.5,Smithing Stones
Longsword,Straight Sword,269,0,0,0,0,100,90,C,D,-,-,-,-,45,30,30,30,30,36,15,3.5,Smithing Stones
Lordsworn's Greatsword,Greatsword,333,0,0,0,0,110,126,C,D,-,-,-,-,65,35,35,35,35,50,20,9,Smithing Stones
Lordsworn's Straight Sword,Straight Sword,281,0,0,0,0,110,90,D,D,-,-,-,-,45,30,30,30,30,36,15,3.5,Smithing Stones
Loretta's War Sickle,Halberd,269,173,0,0,0,100,128,C,C,C,-,-,-,57,49,36,36,36,46,16,10,Somber Smithing Stones
Lucerne,Halberd,296,0,0,0,0,100,122,D,B,-,-,-,-,52,33,33,33,33,46,14,7,Smithing Stones
Lusat's Glintstone Staff,Glintstone Staff,58,0,0,0,0,100,42,C,-,S,-,-,-,25,15,15,15,15,15,10,4,Somber Smithing Stones
Mace,Hammer,281,0,0,0,0,100,112,C,D,-,-,-,-,45,30,30,30,30,36,15,4.5,Smithing Stones
Magma Blade,Curved Sword,235,0,151,0,0,100,98,C,D,-,C,-,-,44,30,44,30,30,27,11,4,Somber Smithing Stones
Magma Whip Candlestick,Whip,176,0,176,0,0,100,88,D,B,-,C,-,-,21,10,36,10,10,15,10,2.5,Somber Smithing Stones
Magma Wyrm's Scalesword,Curved Greatsword,279,0,181,0,0,100,140,B,D,-,B,-,-,66,33,48,33,33,50,24,15,Somber Smithing Stones
Maliketh's Black Blade,Colossal Sword,311,0,0,0,200,100,156,B,D,-,B,-,-,68,36,36,36,49,55,27,22,Somber Smithing Stones
Mantis Blade,Curved Sword,274,0,0,0,0,100,94,D,C,-,-,-,-,44,33,33,33,33,32,11,4,Smithing Stones
Marais Executioner's Sword,Greatsword,230,149,0,0,0,100,138,B,E,-,-,D,-,68,49,36,36,36,46,22,11.5,Somber Smithing Stones
Marika's Hammer,Hammer,247,0,0,0,159,100,116,B,D,-,C,-,-,44,30,30,30,44,33,16,6,Somber Smithing Stones
Meteoric Ore Blade,Katana,274,176,0,0,0,100,104,C,D,C,-,-,(50),50,45,31,31,31,33,16,7.5,Somber Smithing Stones
Miquellan Knight's Sword,Straight Sword,257,0,0,0,166,100,90,D,D,-,D,-,-,40,28,28,28,40,30,15,3.5,Somber Smithing Stones
Misbegotten Shortbow,Light Bow,166,0,0,0,0,100,40,D,E,-,-,-,-,0,0,0,0,0,0,0,3,Smithing Stones
Misericorde,Dagger,225,0,0,0,0,140,56,E,C,-,-,-,-,36,21,21,21,21,18,10,2,Smithing Stones
Mohgwyn's Sacred Spear,Great Spear,235,0,151,0,0,100,128,C,D,-,-,C,(55),57,36,49,36,36,46,22,10,Somber Smithing Stones
Monk's Flameblade,Curved Greatsword,328,0,0,0,0,100,122,D,C,-,-,-,-,61,33,33,33,33,46,19,9,Smithing Stones
Monk's Flamemace,Hammer,308,0,0,0,0,100,112,D,C,-,-,-,-,49,33,33,33,33,39,16,6,Smithing Stones
Moonveil,Katana,178,213,0,0,0,100,90,E,B,B,-,-,(50),31,57,26,26,26,31,15,6.5,Somber Smithing Stones
Morgott's Cursed Sword,Curved Greatsword,294,0,0,0,0,110,96,D,B,-,-,D,(60),55,29,29,29,29,35,17,7.5,Somber Smithing Stones
Morning Star,Hammer,289,0,0,0,0,100,116,C,D,-,-,-,(50),47,31,31,31,31,37,15,5,Smithing Stones
